ctype,quotedate,0.0833YR,0.25YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR,Max,Min
pwcf,20130830.0,-5425.91642945855,-1828.2796027523373,-924.1452931495332,-460.6669974334658,-230.09246316878773,-152.58004551388234,-90.41008504009584,-63.467236090424336,-43.10573512957696,-19.27264009352704,-11.380231395748384,-11.380231395748384,-5425.91642945855
pwcf,20130930.0,-5425.910071716614,-1828.2928104697287,-924.1691536440384,-460.7036125293562,-230.1797662646781,-152.7771257602327,-90.66230319453176,-63.72029526523858,-43.28238738039842,-19.281961084629025,-11.34214077787853,-11.34214077787853,-5425.910071716614
pwcf,20131031.0,-5606.765341440502,-1828.26839068712,-929.228144050912,-460.6882936800412,-230.18775684002065,-152.7986140631524,-90.697963731224,-63.76446349363122,-43.33132414381573,-19.342778903930878,-11.390933477522593,-11.390933477522593,-5606.765341440502
pwcf,20131129.0,-5606.756302773835,-1848.3303635518137,-929.206977807818,-460.6561554060687,-230.2046093742672,-152.81915322373635,-90.64754656802576,-63.63021923082325,-43.13656320734256,-19.142339352938404,-11.21317258859314,-11.21317258859314,-5606.756302773835
pwcf,20131231.0,-5425.914281394033,-1868.8710444801677,-929.2364849901384,-460.6752901457947,-230.1371850728973,-152.57217253942977,-90.29806504009584,-63.266486927342605,-42.84438047733161,-18.98418687244559,-11.07391402329242,-11.07391402329242,-5425.914281394033
pwcf,20140131.0,-6007.250288329109,-1889.9094366653376,-929.2519901835084,-460.6917706937398,-230.16353034686992,-152.6883129500137,-90.54083232925248,-63.60273837043998,-43.23693514600631,-19.38949693404723,-11.472193051311038,-11.472193051311038,-6007.250288329109
pwcf,20140228.0,-5425.895198490808,-1828.2588805784244,-914.0832852892124,-460.6863359266166,-229.86424866376888,-152.68873236607212,-90.53620162826672,-63.60241325115958,-43.24210249198332,-19.419340987435323,-11.482360669211085,-11.482360669211085,-5425.895198490808
pwcf,20140331.0,-5606.776089773834,-1848.365833881484,-919.0852037334156,-460.7191941457946,-229.78072834913135,-152.49716749380931,-90.32771019343647,-63.43614126445642,-43.16838342546264,-19.45608842754484,-11.54251193586558,-11.54251193586558,-5606.776089773834
pwcf,20140430.0,-5425.915136877904,-1828.284503404512,-914.1018317022558,-460.74611740606855,-229.77977814393304,-152.52494445548817,-90.3810674059228,-63.50231250027964,-43.24976652976048,-19.566301554170437,-11.65468982325379,-11.65468982325379,-5425.915136877904
pwcf,20140530.0,-5425.9028055875815,-1828.2717052523376,-914.0956376261688,-460.73316140606863,-229.80804343805067,-152.6127669281159,-90.52834701709476,-63.68240002863318,-43.44015202661238,-19.724104256429165,-11.790068068371513,-11.790068068371513,-5425.9028055875815
pwcf,20140630.0,-5425.915148490807,-1828.2825466653808,-914.0926333326906,-460.7270648855207,-229.73670644762652,-152.52188012154656,-90.43975621753287,-63.6086438690712,-43.37702535812073,-19.682508772514037,-11.763376453113253,-11.763376453113253,-5425.915148490807
pwcf,20140731.0,-5425.926595587582,-1828.28329318712,-914.08987159356,-460.7248246937399,-229.6640310577497,-152.3761998660721,-90.3009328440389,-63.51921041580565,-43.34837915226254,-19.7373129860664,-11.82302806107091,-11.82302806107091,-5425.926595587582
pwcf,20140829.0,-5425.921503329517,-1828.2842934045116,-919.0992737880604,-460.7305167211371,-229.65666695378252,-152.43263545001372,-90.43618120110352,-63.70783910958743,-43.58020013775391,-19.996994734184128,-12.072730902830354,-12.072730902830354,-5425.921503329517
pwcf,20140930.0,-5425.916010103711,-1828.2907426436416,-924.1690825451376,-460.74155083072617,-229.5877751753968,-152.31964795001372,-90.28994215400604,-63.548958092770846,-43.4242533734506,-19.867905339249152,-11.960664230079852,-11.960664230079852,-5425.916010103711
