ctype,quotedate,0.0833YR,0.5YR,1.0YR,2.0YR,3.0YR,5.0YR,7.0YR,10.0YR,20.0YR,30.0YR
pwcf,19780228.0,0.4687890430385755,0.5310453009238048,0.5519418924099018,0.5693005493040859,0.5812309237763102,0.5932347418365902,0.6007013282734119,0.6094750097833446,0.6255005416097026,0.6280059198777055
pwcf,19780331.0,0.5330484649030964,0.6004265339950354,0.6152536446902834,0.6389660646527906,0.6545530518708764,0.666292580261274,0.6710328235905783,0.6815566975834519,0.6991252564139128,0.7004888996045677
pwcf,19780428.0,0.5189937551577817,0.5423460206761543,0.5640865946203499,0.5874361592034472,0.597595878218371,0.6088867494142169,0.6161253442602099,0.6244701940515629,0.6376520646294681,0.6385465644735744
pwcf,19780531.0,0.5573934321809748,0.6456433363132064,0.6794126735562012,0.7067602609509782,0.7159654313143804,0.7271358268110983,0.7348376737807971,0.7439498102602471,0.757663238719819,0.7576471317394695
pwcf,19780630.0,0.5352193041190167,0.618085499095189,0.6508911511371895,0.6662548003486313,0.671458405605474,0.6793753207131603,0.685603132184065,0.6924919876098556,0.7016208278525893,0.6987470225823023
pwcf,19780731.0,0.5685471192938829,0.6716922953573512,0.7083070815406822,0.7200511499642515,0.7209872632240488,0.7244207148005222,0.7280005999378503,0.7321920771139467,0.736604396243079,0.7332927641457765
pwcf,19780831.0,0.5761465859347892,0.6625350347961412,0.7081126968227158,0.7149955399647911,0.7143253707296848,0.717153385060243,0.7209496589241748,0.725668265533308,0.7300743729101722,0.7278621365964577
pwcf,19780929.0,0.6248760995321456,0.6350583937158039,0.6696025553760032,0.6675320134725826,0.6661180722256299,0.6654207913527665,0.6656502440249179,0.6664600093082562,0.6697972640819394,0.6695745774503381
pwcf,19781031.0,0.7343386964358656,0.766854247573745,0.7751942213777507,0.7545419778953288,0.7446058915564047,0.7421206901134347,0.7451648328097304,0.749978351036229,0.755515120117245,0.752562267948953
pwcf,19781130.0,0.7339446157494267,0.7848775393543006,0.8063412408957138,0.7718995434433218,0.7616191882383383,0.7474857658380962,0.7375036186274997,0.7339027712409019,0.7316456282358663,0.7276592673412408
